,state,Total:_Estimate,Total:_Margin of Error,"    Less than $20,000_Estimate","    Less than $20,000_Margin of Error","    $20,000 to $39,999_Estimate","    $20,000 to $39,999_Margin of Error","    $40,000 to $59,999_Estimate","    $40,000 to $59,999_Margin of Error","    $60,000 to $99,999_Estimate","    $60,000 to $99,999_Margin of Error","    $100,000 to $149,999_Estimate","    $100,000 to $149,999_Margin of Error","    $150,000 to $199,999_Estimate","    $150,000 to $199,999_Margin of Error","    $200,000 or more_Estimate","    $200,000 or more_Margin of Error",PAYANN,PAYANN_S,PCHDAPR,PCHADVT,YEAR,DENSITY_2021,NPOPCHG_2021,POP_2021,RANK_PPOPCHG_2021,PPOPCHG_2021,Total:_Estimate_max,"    Less than $20,000_Estimate_max","    $20,000 to $39,999_Estimate_max","    $40,000 to $59,999_Estimate_max","    $60,000 to $99,999_Estimate_max","    $100,000 to $149,999_Estimate_max","    $150,000 to $199,999_Estimate_max","    $200,000 or more_Estimate_max",Total:_Estimate_min,"    Less than $20,000_Estimate_min","    $20,000 to $39,999_Estimate_min","    $40,000 to $59,999_Estimate_min","    $60,000 to $99,999_Estimate_min","    $100,000 to $149,999_Estimate_min","    $150,000 to $199,999_Estimate_min","    $200,000 or more_Estimate_min"
88,Vermont,"263,353","+/-4,312","34,865","+/-1,856","42,525","+/-1,737","40,080","+/-1,429","65,807","+/-2,058","44,869","+/-1,550","17,292","+/-1,109","17,915","+/-1,300",27395,0.0,40.0,138.0,2012,70.0378118040,3075,645570,18,0.4786029463,271977,38577,45999,42938,69923,47969,19510,20515,254729,31153,39051,37222,61691,41769,15074,15315
89,Vermont,"263,353","+/-4,312","34,865","+/-1,856","42,525","+/-1,737","40,080","+/-1,429","65,807","+/-2,058","44,869","+/-1,550","17,292","+/-1,109","17,915","+/-1,300",0,0.0,55.0,147.0,2017,70.0378118040,3075,645570,18,0.4786029463,271977,38577,45999,42938,69923,47969,19510,20515,254729,31153,39051,37222,61691,41769,15074,15315
90,Virginia,"3,213,949","+/-10,928","347,608","+/-6,342","442,083","+/-5,694","453,011","+/-6,059","690,638","+/-7,154","562,707","+/-7,044","303,708","+/-4,023","414,194","+/-7,278",673557,0.0,1369.0,1870.0,2012,218.8905118900,10230,8642274,28,0.1185119075,3235805,360292,453471,465129,704946,576795,311754,428750,3192093,334924,430695,440893,676330,548619,295662,399638
91,Virginia,"3,213,949","+/-10,928","347,608","+/-6,342","442,083","+/-5,694","453,011","+/-6,059","690,638","+/-7,154","562,707","+/-7,044","303,708","+/-4,023","414,194","+/-7,278",391473,0.0,487.0,632.0,2017,218.8905118900,10230,8642274,28,0.1185119075,3235805,360292,453471,465129,704946,576795,311754,428750,3192093,334924,430695,440893,676330,548619,295662,399638
92,Washington,"2,987,658","+/-9,547","307,632","+/-6,903","389,490","+/-5,419","412,662","+/-4,340","684,713","+/-6,504","537,686","+/-5,724","290,315","+/-3,486","365,160","+/-7,192",139251,0.0,334.0,1106.0,2012,116.4497094300,19907,7738692,23,0.2579032840,3006752,321438,400328,421342,697721,549134,297287,379544,2968564,293826,378652,403982,671705,526238,283343,350776
93,Washington,"2,987,658","+/-9,547","307,632","+/-6,903","389,490","+/-5,419","412,662","+/-4,340","684,713","+/-6,504","537,686","+/-5,724","290,315","+/-3,486","365,160","+/-7,192",135429,0.0,862.0,1062.0,2017,116.4497094300,19907,7738692,23,0.2579032840,3006752,321438,400328,421342,697721,549134,297287,379544,2968564,293826,378652,403982,671705,526238,283343,350776
94,West Virginia,"734,080","+/-6,718","144,929","+/-3,809","158,301","+/-3,067","126,136","+/-2,789","156,728","+/-3,767","92,720","+/-3,390","33,138","+/-1,612","22,128","+/-1,678",2805678,0.0,5090.0,5301.0,2012,74.1627628920,-6839,1782959,43,-0.3821101600,747516,152547,164435,131714,164262,99500,36362,25484,720644,137311,152167,120558,149194,85940,29914,18772
95,West Virginia,"734,080","+/-6,718","144,929","+/-3,809","158,301","+/-3,067","126,136","+/-2,789","156,728","+/-3,767","92,720","+/-3,390","33,138","+/-1,612","22,128","+/-1,678",1453659,0.0,6827.0,3059.0,2017,74.1627628920,-6839,1782959,43,-0.3821101600,747516,152547,164435,131714,164262,99500,36362,25484,720644,137311,152167,120558,149194,85940,29914,18772
96,Wisconsin,"2,393,344","+/-8,298","310,755","+/-5,192","400,960","+/-4,721","392,308","+/-4,136","601,226","+/-6,076","405,506","+/-4,825","151,472","+/-3,068","131,117","+/-3,232",244055,0.0,1931.0,1471.0,2012,108.8461550200,3585,5895908,31,0.0608418785,2409940,321139,410402,400580,613378,415156,157608,137581,2376748,300371,391518,384036,589074,395856,145336,124653
97,Wisconsin,"2,393,344","+/-8,298","310,755","+/-5,192","400,960","+/-4,721","392,308","+/-4,136","601,226","+/-6,076","405,506","+/-4,825","151,472","+/-3,068","131,117","+/-3,232",382987,0.0,1930.0,2105.0,2017,108.8461550200,3585,5895908,31,0.0608418785,2409940,321139,410402,400580,613378,415156,157608,137581,2376748,300371,391518,384036,589074,395856,145336,124653
98,Wyoming,"237,179","+/-3,770","29,628","+/-1,938","36,532","+/-1,966","41,668","+/-1,966","57,948","+/-1,890","41,228","+/-2,057","15,811","+/-1,207","14,364","+/-1,243",2298240,0.0,9689.0,15111.0,2012,5.9615893092,1536,578803,22,0.2660813800,244719,33504,40464,45600,61728,45342,18225,16850,229639,25752,32600,37736,54168,37114,13397,11878
99,Wyoming,"237,179","+/-3,770","29,628","+/-1,938","36,532","+/-1,966","41,668","+/-1,966","57,948","+/-1,890","41,228","+/-2,057","15,811","+/-1,207","14,364","+/-1,243",1529083,0.0,4422.0,4497.0,2017,5.9615893092,1536,578803,22,0.2660813800,244719,33504,40464,45600,61728,45342,18225,16850,229639,25752,32600,37736,54168,37114,13397,11878
