,state,Total:_Estimate,Total:_Margin of Error,"    Less than $20,000_Estimate","    Less than $20,000_Margin of Error","    $20,000 to $39,999_Estimate","    $20,000 to $39,999_Margin of Error","    $40,000 to $59,999_Estimate","    $40,000 to $59,999_Margin of Error","    $60,000 to $99,999_Estimate","    $60,000 to $99,999_Margin of Error","    $100,000 to $149,999_Estimate","    $100,000 to $149,999_Margin of Error","    $150,000 to $199,999_Estimate","    $150,000 to $199,999_Margin of Error","    $200,000 or more_Estimate","    $200,000 or more_Margin of Error",PAYANN,PAYANN_S,PCHDAPR,PCHADVT,YEAR,DENSITY_2021,NPOPCHG_2021,POP_2021,RANK_PPOPCHG_2021,PPOPCHG_2021,Total:_Estimate_max,"    Less than $20,000_Estimate_max","    $20,000 to $39,999_Estimate_max","    $40,000 to $59,999_Estimate_max","    $60,000 to $99,999_Estimate_max","    $100,000 to $149,999_Estimate_max","    $150,000 to $199,999_Estimate_max","    $200,000 or more_Estimate_max",Total:_Estimate_min,"    Less than $20,000_Estimate_min","    $20,000 to $39,999_Estimate_min","    $40,000 to $59,999_Estimate_min","    $60,000 to $99,999_Estimate_min","    $100,000 to $149,999_Estimate_min","    $150,000 to $199,999_Estimate_min","    $200,000 or more_Estimate_min"
47,Mississippi,"1,126,474","+/-8,475","251,205","+/-5,685","236,738","+/-4,100","189,597","+/-3,819","225,059","+/-5,317","131,608","+/-3,180","50,923","+/-1,734","41,344","+/-1,945",268285,0.0,4235.0,1300.0,2017,62.8669463950,-6905,2949965,42,-0.2335239630,1143424,262575,244938,197235,235693,137968,54391,45234,1109524,239835,228538,181959,214425,125248,47455,37454
48,Missouri,"2,463,458","+/-15,090","364,308","+/-6,550","467,045","+/-6,762","419,455","+/-5,054","565,370","+/-7,119","371,502","+/-5,966","136,997","+/-3,142","138,781","+/-3,706",181044,0.0,238.0,453.0,2012,89.7235035990,13706,6168187,24,0.2226995258,2493638,377408,480569,429563,579608,383434,143281,146193,2433278,351208,453521,409347,551132,359570,130713,131369
49,Missouri,"2,463,458","+/-15,090","364,308","+/-6,550","467,045","+/-6,762","419,455","+/-5,054","565,370","+/-7,119","371,502","+/-5,966","136,997","+/-3,142","138,781","+/-3,706",205807,0.0,144.0,453.0,2017,89.7235035990,13706,6168187,24,0.2226995258,2493638,377408,480569,429563,579608,383434,143281,146193,2433278,351208,453521,409347,551132,359570,130713,131369
50,Montana,"446,572","+/-4,311","64,104","+/-2,678","90,777","+/-2,496","77,703","+/-2,013","102,282","+/-2,793","65,357","+/-2,484","22,888","+/-1,081","23,461","+/-1,738",588014,0.0,3915.0,1981.0,2012,7.5868654853,18078,1104271,3,1.6643451026,455194,69460,95769,81729,107868,70325,25050,26937,437950,58748,85785,73677,96696,60389,20726,19985
51,Montana,"446,572","+/-4,311","64,104","+/-2,678","90,777","+/-2,496","77,703","+/-2,013","102,282","+/-2,793","65,357","+/-2,484","22,888","+/-1,081","23,461","+/-1,738",472223,0.0,2488.0,923.0,2017,7.5868654853,18078,1104271,3,1.6643451026,455194,69460,95769,81729,107868,70325,25050,26937,437950,58748,85785,73677,96696,60389,20726,19985
52,Nebraska,"774,402","+/-5,287","91,046","+/-2,861","138,962","+/-2,967","127,330","+/-2,504","198,258","+/-3,578","124,673","+/-2,592","50,292","+/-1,642","43,841","+/-1,948",52808,0.0,445.0,0.0,2012,25.5629643700,2237,1963692,29,0.1140479899,784976,96768,144896,132338,205414,129857,53576,47737,763828,85324,133028,122322,191102,119489,47008,39945
53,Nebraska,"774,402","+/-5,287","91,046","+/-2,861","138,962","+/-2,967","127,330","+/-2,504","198,258","+/-3,578","124,673","+/-2,592","50,292","+/-1,642","43,841","+/-1,948",55703,0.0,445.0,5630.84,2017,25.5629643700,2237,1963692,29,0.1140479899,784976,96768,144896,132338,205414,129857,53576,47737,763828,85324,133028,122322,191102,119489,47008,39945
54,Nevada,"1,173,874","+/-5,251","152,219","+/-3,476","205,549","+/-3,746","185,365","+/-3,241","275,922","+/-4,316","189,869","+/-3,172","80,074","+/-2,097","84,876","+/-2,701",1215016,0.0,2482.0,6884.0,2012,28.6180620940,29920,3143991,9,0.9608001873,1184376,159171,213041,191847,284554,196213,84268,90278,1163372,145267,198057,178883,267290,183525,75880,79474
55,Nevada,"1,173,874","+/-5,251","152,219","+/-3,476","205,549","+/-3,746","185,365","+/-3,241","275,922","+/-4,316","189,869","+/-3,172","80,074","+/-2,097","84,876","+/-2,701",1162375,0.0,2482.0,6884.0,2017,28.6180620940,29920,3143991,9,0.9608001873,1184376,159171,213041,191847,284554,196213,84268,90278,1163372,145267,198057,178883,267290,183525,75880,79474
56,New Hampshire,"538,552","+/-5,848","50,281","+/-2,733","68,352","+/-2,593","74,159","+/-2,152","131,809","+/-3,334","105,685","+/-2,915","53,384","+/-2,223","54,882","+/-2,716",17049,0.0,0.0,0.0,2012,155.1295034800,11144,1388992,12,0.8087974871,550248,55747,73538,78463,138477,111515,57830,60314,526856,44815,63166,69855,125141,99855,48938,49450
