business_id;rating;num_rating;types;price_level
JG0MsBKH1blxSzOgg2HjQA;4.5;1194;cafe|food|point_of_interest|store|establishment;1
ffvS2BlFwQra5FTPNk5N2g;4.8;44;restaurant|food|point_of_interest|establishment;
Bsq3-p3cDBi7bfgPDJq7aQ;4.4;672;cafe|restaurant|food|point_of_interest|store|establishment;2
7YiLEuHuUONZrMPT0OxXUQ;2.9;942;cafe|restaurant|food|point_of_interest|store|establishment;1
J7TZeIXaJFgrSIZzAjQMsw;4.5;295;cafe|restaurant|food|point_of_interest|store|establishment;2
a42bnC6qseReimp6Ot09lA;4.4;5724;shopping_mall|point_of_interest|establishment;
aI2w94F3TvIuPTcflKVCJQ;4.4;18;restaurant|food|point_of_interest|establishment;
CxoRg-ZcXdpqXWmUJliYog;3.5;2552;cafe|restaurant|food|point_of_interest|store|establishment;1
XYaOXB1i1zT2zAWreYbX0g;4.5;56;cafe|food|point_of_interest|store|establishment;
y8R6_RZsBO-b__bJaQjuaw;4.6;114;bakery|cafe|food|point_of_interest|store|establishment;1
-utd1de-UUgQKZE4VHVLlw;4.6;90;bakery|cafe|food|point_of_interest|store|establishment;1
GOSVLhjUT6TnrPhkkmDOpw;4.7;241;cafe|food|point_of_interest|establishment;1
lrARqZZdNhkeH6o6-hP4ZQ;4.7;115;cafe|food|point_of_interest|store|establishment;
j9YkV3Rw74YKXABDk7IALg;5;4;food|point_of_interest|store|establishment;
oenwq6HeMQGonbzrMNGoQg;4.6;22;cafe|food|point_of_interest|store|establishment;
kUR59XFQps7CwVlo43wIlg;4.8;78;cafe|food|point_of_interest|store|establishment;
5QefK7gbedeBiqsYJW54Bw;4.5;2346;cafe|food|point_of_interest|store|establishment;2
zxuVnNVAUm16Sro0dS_lmg;4.4;148;restaurant|food|point_of_interest|establishment;
7KFWWjzHOSBl9HDVXkyusQ;3.9000000000000004;139;convenience_store|gas_station|cafe|restaurant|food|point_of_interest|store|establishment;1
PNPREi-W9kVr37KWqD11rg;5;2;point_of_interest|establishment;
XAaXtqL1_HsI2t6FEIrA8Q;4.7;12;cafe|food|point_of_interest|establishment;
RYbqjtb0P6fNQh-Txs4LBA;4.4;447;bakery|cafe|restaurant|food|point_of_interest|store|establishment;2
0vU_OcoHU_hcEfNTpDyOvA;3.6;78;bakery|meal_takeaway|cafe|restaurant|food|point_of_interest|store|establishment;1
MX7qpwwwdBry69K-V4432w;4;43;cafe|food|point_of_interest|store|establishment;2
_QDlxjPJf76c5O9OqY_tqA;4.5;83;cafe|food|point_of_interest|store|establishment;2
CPdzdO7YuxFSUOWYhqthOA;3.6;207;bakery|meal_takeaway|cafe|restaurant|food|point_of_interest|store|establishment;1
LTEpFgVru40dLvg1dsaD8g;4.6;146;cafe|food|point_of_interest|establishment;
iPuUDOwZKlGewjaDVo9kOg;4.9;128;cafe|food|point_of_interest|store|establishment;
2gTnSpYBmg_5JubGpCtSQQ;3.6;1285;cafe|restaurant|food|point_of_interest|store|establishment;1
37yDMpWI6HBO2iW8slv7_Q;4.1;199;food|point_of_interest|store|establishment;1
y0pfoNQOyrb98aEIdH6cnA;3.3;969;cafe|restaurant|food|point_of_interest|store|establishment;1
kLS3Sth5HvO0IjrXCCvXxA;3.419387755102041;392;convenience_store|cafe|restaurant|food|point_of_interest|store|establishment;1
TMT9U2da4ewGbk38X54KJA;4.5;620;restaurant|food|point_of_interest|establishment;1
59fWFpyDg01BTEH-Hh6jdw;3;1250;cafe|restaurant|food|point_of_interest|store|establishment;1
7Bq927oiZRlEVMqQSNR0Lg;3.1;1407;cafe|restaurant|food|point_of_interest|store|establishment;1
hjRxa6xpKOwnbUgGvVCE5Q;4.7;1012;cafe|food|point_of_interest|store|establishment;2
lTqAGjcQHeY3eTXBTIcvkA;4.5;217;restaurant|cafe|bar|food|point_of_interest|store|establishment;2
eOeKgRKbs-iAsIEOmHTrYg;3.382986111111111;2304;cafe|restaurant|food|point_of_interest|store|establishment;1
8PjqEoQoQKhmsvSDF9dHQA;4.045583038869259;283;bakery|meal_takeaway|cafe|restaurant|food|point_of_interest|store|establishment;1
gq4zw-ru_rkZ2UBIanaZFQ;2.9226595744680854;3760;cafe|restaurant|food|point_of_interest|store|establishment;1
-sRtgVuwRz7JJQaHiLV9zw;3.8;642;bakery|meal_takeaway|cafe|restaurant|food|point_of_interest|store|establishment;1
ABp0BSeiYty6EpVW2ScO-w;5;5;restaurant|food|health|point_of_interest|store|establishment;
caGpaptBP4BKJkpH5W6cvA;4.6;832;cafe|food|point_of_interest|establishment;1
-6TttC-1-rf5gC0QHWrs_w;4.1;134;bakery|cafe|restaurant|food|point_of_interest|store|establishment;1
OTBWyXkNsBYHqIlXJXnEDA;4.1;531;cafe|restaurant|food|point_of_interest|store|establishment;2
8ZN5M6bUQ_KWo8YbxYSVPA;4.5;15;cafe|restaurant|food|point_of_interest|store|establishment;
laBlOr7v6w7Sf5yxbHhAcA;4.3;170;bakery|cafe|food|point_of_interest|store|establishment;1
9DhjKaR2f9wKATnUvxBAgg;3.6000000000000005;2433;cafe|restaurant|food|point_of_interest|store|establishment;1
x975oi4VWOxHJWE6dwSPzw;4.5;1449;book_store|electronics_store|home_goods_store|point_of_interest|store|establishment;1
XfvJ2iEq0XmciWIJvelZZA;4.6;428;restaurant|food|point_of_interest|establishment;2
zSEqhlaHqY8sIDxznturEQ;3.1;808;cafe|restaurant|food|point_of_interest|store|establishment;1
JE4gQjflWbg9eg3CSZvAVg;4.3;2302;restaurant|food|point_of_interest|establishment;2
1NJTnfFfLYnt8-p3iUoGOg;4.2;48;cafe|food|point_of_interest|store|establishment;2
RPLPto1ejkyE8vsGOV5phg;3.382986111111111;2304;cafe|restaurant|food|point_of_interest|store|establishment;1
ulwns2OavT81v6zG-Sk6ng;3.9;124;convenience_store|gas_station|cafe|restaurant|food|point_of_interest|store|establishment;1
O_V9eD3bne7DrZtNHT4Tfg;4.4;16;cafe|food|point_of_interest|store|establishment;
8ZHMr31oBElXmaqSmZJs2Q;3.8;1460;cafe|restaurant|food|point_of_interest|store|establishment;1
Y8IzgicQSkxNsewSzR7NLg;4.9;32;bakery|cafe|restaurant|food|point_of_interest|store|establishment;
VU9rKbmrj_Oh1VLvUI_yZg;4.5;575;cafe|food|point_of_interest|store|establishment;1
IzKWd5VmKcwlxK9GWBuohA;4.3;696;cafe|restaurant|food|point_of_interest|store|establishment;2
Z1whpjCi-3RiuBPUtdK44A;4.9;91;restaurant|food|point_of_interest|store|establishment;1
IjJSHYMgXV3ZQSAr0tn19A;4.7;51;cafe|food|point_of_interest|establishment;
xsbUN2133MlOmQlAqRPVtA;3.268627450980392;153;cafe|food|point_of_interest|store|establishment;2
6HRbMeGq5Y4hqRkgXnG6Ig;4.7;33;cafe|food|point_of_interest|establishment;
YaLZlatMJU_eXurZXtihHQ;3.7;268;bakery|meal_takeaway|cafe|restaurant|food|point_of_interest|store|establishment;1
vdpxxb6fxjYtJMnW_V0GZg;4.6;204;cafe|food|point_of_interest|store|establishment;1
WZPCfTRiN4ipajP7gFfziA;5;2;cafe|restaurant|food|point_of_interest|establishment;1
hgdh0gKSczCIjLikWtZpGg;4.9;9;cafe|restaurant|food|point_of_interest|establishment;
g04aAvgol7IW8buqSbT4xA;4.4;2596;cafe|restaurant|food|point_of_interest|establishment;2
JOiDhBBiSu79PdPnYx87Xw;4.4;74;cafe|restaurant|food|point_of_interest|store|establishment;
Gib553AC85MoMzQSusnc6w;3.5;38;gas_station|convenience_store|food|point_of_interest|store|establishment;
Wo2aCm_YFYh48P69ZsEIDQ;4.6;49;grocery_or_supermarket|food|point_of_interest|store|establishment;
JrlYnMIFLq2NWLk9EbM4AA;4.4;35;food|point_of_interest|store|establishment;
6FvC6w810uf6O7Ocd6Wpog;4.6;671;restaurant|food|point_of_interest|establishment;2
rZIoDcsE7vsneLXRzkXlfQ;3.2;232;cafe|restaurant|food|point_of_interest|store|establishment;1
pt0SLWdKuqrv7KRMgpOhLw;4.3;351;cafe|restaurant|food|point_of_interest|store|establishment;2
YJ4jzBFJU2EJhM-zatdLRQ;4;803;bakery|meal_takeaway|cafe|restaurant|food|point_of_interest|store|establishment;1
hNH1ILskk1qu7TA0rBvvlw;4.2;807;cafe|restaurant|food|point_of_interest|store|establishment;2
Jubq4o59PS1Q3vyxBgrtQw;4.6;188;meal_delivery|bakery|restaurant|food|point_of_interest|store|establishment;
Amq1IKeqyyWrx6rt8j5TLQ;3.1;24;convenience_store|food|point_of_interest|store|establishment;1
b-4xNydyGmdv2bGFOHTgdw;4.1;176;bakery|meal_delivery|meal_takeaway|restaurant|food|point_of_interest|store|establishment;
-7Rx5jVeQmlVoAU_oXrzew;3.6578868302453675;1997;cafe|restaurant|food|point_of_interest|store|establishment;1
3LQsW2WJ1pmnRgH23C6YiA;4.6;457;cafe|food|point_of_interest|establishment;2
eJYvM2Zy5BloOYGldWmAVw;4.3;233;cafe|food|point_of_interest|establishment;1
aEEC4D-RylmiUyephE5t_g;4.5;35;bakery|meal_takeaway|cafe|restaurant|food|point_of_interest|store|establishment;
9Udgv_7h8oj6NXq5hQeJow;4.7;152;cafe|food|point_of_interest|establishment;
rH0FgPdxWWhH4YFz4mempg;2.8;1282;cafe|restaurant|food|point_of_interest|store|establishment;1
aROhaLh-dqtt-h6BG-gn2w;4.7;648;cafe|restaurant|food|point_of_interest|store|establishment;1
7AAUjAvOS10dMx1F_QMaew;3.2;67;convenience_store|food|point_of_interest|store|establishment;1
WYPTqTbf7MHfxuHlIyZCkw;4.4;515;restaurant|food|point_of_interest|establishment;2
vdoA5t_zL0nTTww1PQkTVw;4.2;134;cafe|food|point_of_interest|establishment;1
dj84zlrBW3CKjcH8vCkXZQ;4.6;240;cafe|food|point_of_interest|store|establishment;1
MdcgaLvlmhYwpb5l3NT19g;4.8;342;restaurant|food|point_of_interest|establishment;2
HMQ1HMB6r__ol7tSaiNvfg;4.4;499;cafe|restaurant|food|point_of_interest|store|establishment;2
ggJXlslLYndvE7n3hgJBCQ;4.4;89;bank|finance|cafe|food|point_of_interest|store|establishment;1
lIU2BU8iWOoXBXaxdy7V_w;4.3;610;cafe|restaurant|food|point_of_interest|store|establishment;2
9_g3DU-5BnpTH1DC1kIe-w;5;4;point_of_interest|establishment;
_mM29ipaSjYo4zJZkswZiA;4.9;140;cafe|food|point_of_interest|store|establishment;
fMsfxOQR01YZPRCnqoNuww;4.5;510;cafe|food|point_of_interest|store|establishment;1
Jx2AoB_IQOUrZ3s6fdAUSA;4.8;504;cafe|food|point_of_interest|store|establishment;1
Xn9XOYqXa4IHdHnaZr9JAA;4.2;483;cafe|restaurant|food|point_of_interest|establishment;1
5ewePyN_mEE_79OmYyYBEA;3.3786464901219;2379;cafe|restaurant|food|point_of_interest|store|establishment;1
_kSaLnFZIEpOZEg6ZIxKvQ;4.5;255;bakery|food|point_of_interest|store|establishment;2
iJOwwuhHP_0BCHmpmJ8l4Q;3.3;1752;cafe|restaurant|food|point_of_interest|store|establishment;1
5xokROlB8Zo5T-_qbHzsrQ;4.6;1010;cafe|food|point_of_interest|store|establishment;2
cyt2QmCjELEDn71j8aE8Ow;4.3;88;restaurant|cafe|food|point_of_interest|store|establishment;
1et8GvbWnXrClLli988vJQ;3.9000000000000004;99;gas_station|point_of_interest|establishment;2
mGxaM5kUC2GhYkp3Dip52Q;4.7;1385;cafe|food|point_of_interest|store|establishment;1
dq_B8fJB1oPo645xkwPSKQ;4.58672;625;cafe|food|point_of_interest|store|establishment;1
