,date,US-AK_Coffee,US-AK_Tea,US-AK_bubbleTea,isPartial,US-AL_Coffee,US-AL_Tea,US-AL_bubbleTea,isPartial,US-AR_Coffee,US-AR_Tea,US-AR_bubbleTea,isPartial,US-AZ_Coffee,US-AZ_Tea,US-AZ_bubbleTea,isPartial,US-CA_Coffee,US-CA_Tea,US-CA_bubbleTea,isPartial,US-CO_Coffee,US-CO_Tea,US-CO_bubbleTea,isPartial,US-CT_Coffee,US-CT_Tea,US-CT_bubbleTea,isPartial,US-DC_Coffee,US-DC_Tea,US-DC_bubbleTea,isPartial,US-DE_Coffee,US-DE_Tea,US-DE_bubbleTea,isPartial,US-FL_Coffee,US-FL_Tea,US-FL_bubbleTea,isPartial,US-GA_Coffee,US-GA_Tea,US-GA_bubbleTea,isPartial,US-HI_Coffee,US-HI_Tea,US-HI_bubbleTea,isPartial,US-IA_Coffee,US-IA_Tea,US-IA_bubbleTea,isPartial,US-ID_Coffee,US-ID_Tea,US-ID_bubbleTea,isPartial,US-IL_Coffee,US-IL_Tea,US-IL_bubbleTea,isPartial,US-IN_Coffee,US-IN_Tea,US-IN_bubbleTea,isPartial,US-KS_Coffee,US-KS_Tea,US-KS_bubbleTea,isPartial,US-KY_Coffee,US-KY_Tea,US-KY_bubbleTea,isPartial,US-LA_Coffee,US-LA_Tea,US-LA_bubbleTea,isPartial,US-MA_Coffee,US-MA_Tea,US-MA_bubbleTea,isPartial,US-MD_Coffee,US-MD_Tea,US-MD_bubbleTea,isPartial,US-ME_Coffee,US-ME_Tea,US-ME_bubbleTea,isPartial,US-MI_Coffee,US-MI_Tea,US-MI_bubbleTea,isPartial,US-MN_Coffee,US-MN_Tea,US-MN_bubbleTea,isPartial,US-MO_Coffee,US-MO_Tea,US-MO_bubbleTea,isPartial,US-MS_Coffee,US-MS_Tea,US-MS_bubbleTea,isPartial,US-MT_Coffee,US-MT_Tea,US-MT_bubbleTea,isPartial,US-NC_Coffee,US-NC_Tea,US-NC_bubbleTea,isPartial,US-ND_Coffee,US-ND_Tea,US-ND_bubbleTea,isPartial,US-NE_Coffee,US-NE_Tea,US-NE_bubbleTea,isPartial,US-NH_Coffee,US-NH_Tea,US-NH_bubbleTea,isPartial,US-NJ_Coffee,US-NJ_Tea,US-NJ_bubbleTea,isPartial,US-NM_Coffee,US-NM_Tea,US-NM_bubbleTea,isPartial,US-NV_Coffee,US-NV_Tea,US-NV_bubbleTea,isPartial,US-NY_Coffee,US-NY_Tea,US-NY_bubbleTea,isPartial,US-OH_Coffee,US-OH_Tea,US-OH_bubbleTea,isPartial,US-OK_Coffee,US-OK_Tea,US-OK_bubbleTea,isPartial,US-OR_Coffee,US-OR_Tea,US-OR_bubbleTea,isPartial,US-PA_Coffee,US-PA_Tea,US-PA_bubbleTea,isPartial,US-RI_Coffee,US-RI_Tea,US-RI_bubbleTea,isPartial,US-SC_Coffee,US-SC_Tea,US-SC_bubbleTea,isPartial,US-SD_Coffee,US-SD_Tea,US-SD_bubbleTea,isPartial,US-TN_Coffee,US-TN_Tea,US-TN_bubbleTea,isPartial,US-TX_Coffee,US-TX_Tea,US-TX_bubbleTea,isPartial,US-UT_Coffee,US-UT_Tea,US-UT_bubbleTea,isPartial,US-VA_Coffee,US-VA_Tea,US-VA_bubbleTea,isPartial,US-VT_Coffee,US-VT_Tea,US-VT_bubbleTea,isPartial,US-WA_Coffee,US-WA_Tea,US-WA_bubbleTea,isPartial,US-WI_Coffee,US-WI_Tea,US-WI_bubbleTea,isPartial,US-WV_Coffee,US-WV_Tea,US-WV_bubbleTea,isPartial,US-WY_Coffee,US-WY_Tea,US-WY_bubbleTea,isPartial
10,2004-11-01,45,16,0,False,40,23,0,False,40,40,0,False,40,28,0,False,33,27,0,False,34,33,0,False,46,32,0,False,34,29,1,False,62,48,0,False,34,27,0,False,46,31,0,False,28,24,0,False,46,31,0,False,72,35,3,False,34,25,0,False,47,29,0,False,40,27,0,False,42,26,0,False,43,22,0,False,40,29,0,False,52,33,0,False,49,11,2,False,49,26,0,False,60,28,0,False,41,30,0,False,44,74,0,False,31,26,0,False,40,30,0,False,36,15,0,False,52,24,0,False,42,25,0,False,38,32,0,False,44,25,0,False,39,40,0,False,38,29,0,False,37,25,0,False,40,29,0,False,47,30,1,False,39,27,0,False,22,24,0,False,28,18,0,False,41,17,0,False,35,31,0,False,38,32,1,False,28,17,0,False,47,27,0,False,38,29,0,False,35,26,1,False,38,25,1,False,55,29,0,False,54,18,0,False
11,2004-12-01,44,46,0,False,62,35,1,False,54,37,0,False,57,38,0,False,39,29,0,False,47,31,0,False,67,49,0,False,36,31,0,False,56,30,0,False,46,34,0,False,54,33,1,False,30,17,0,False,55,23,0,False,48,54,0,False,45,28,0,False,51,35,1,False,35,32,0,False,39,21,0,False,60,30,0,False,49,34,0,False,58,51,2,False,51,34,0,False,41,30,0,False,54,31,0,False,56,32,0,False,61,50,0,False,47,31,0,False,45,21,0,False,22,23,0,False,56,27,0,False,55,39,0,False,39,42,0,False,49,44,0,False,50,34,2,False,45,36,0,False,46,28,0,False,45,30,1,False,50,31,0,False,44,35,0,False,45,29,0,False,42,33,0,False,32,29,0,False,54,35,0,False,42,37,0,False,42,32,1,False,54,33,0,False,58,39,0,False,43,29,1,False,48,34,0,False,66,40,0,False,43,37,0,False
12,2005-01-01,21,23,0,False,36,33,0,False,40,28,0,False,48,23,0,False,32,28,0,False,31,30,0,False,35,49,0,False,28,30,0,False,47,52,0,False,36,30,0,False,40,35,0,False,20,22,0,False,31,20,0,False,30,29,0,False,38,29,0,False,36,29,0,False,35,28,1,False,27,23,0,False,48,26,2,False,35,37,1,False,55,55,0,False,38,37,2,False,41,29,0,False,49,23,0,False,38,29,0,False,37,37,0,False,37,21,0,False,43,29,0,False,43,20,0,False,29,18,0,False,46,22,0,False,43,33,0,False,52,34,0,False,40,41,0,False,38,36,0,False,33,29,0,False,36,27,0,False,50,31,0,False,37,40,1,False,39,39,1,False,37,20,0,False,31,32,0,False,36,38,1,False,35,42,0,False,25,24,0,False,42,33,0,False,38,38,0,False,40,23,1,False,41,28,0,False,25,38,0,False,72,29,0,False
13,2005-02-01,38,21,0,False,30,25,0,False,25,35,0,False,37,29,0,False,31,27,0,False,38,30,0,False,33,34,0,False,30,23,1,False,31,33,0,False,28,25,0,False,39,30,0,False,14,20,1,False,26,24,1,False,32,26,0,False,34,25,0,False,35,30,0,False,27,26,0,False,44,29,0,False,28,25,0,False,38,32,0,False,49,39,0,False,45,39,0,False,38,28,0,False,49,26,0,False,40,30,0,False,44,12,0,False,38,19,0,False,36,26,0,False,16,24,0,False,38,15,0,False,49,36,0,False,32,33,0,False,31,49,0,False,28,29,0,False,36,32,1,False,30,25,0,False,38,38,0,False,50,33,1,False,32,31,0,False,41,23,0,False,33,31,1,False,33,17,0,False,39,32,1,False,31,40,1,False,23,24,0,False,34,31,1,False,46,18,0,False,30,25,1,False,41,22,0,False,41,20,0,False,44,39,0,False
14,2005-03-01,26,29,0,False,26,25,1,False,38,23,0,False,34,29,0,False,27,27,0,False,29,25,0,False,31,38,0,False,27,32,1,False,38,29,0,False,31,28,0,False,39,28,0,False,25,22,0,False,27,25,1,False,35,18,0,False,32,25,1,False,39,30,0,False,20,33,0,False,37,22,0,False,42,27,0,False,32,31,0,False,39,41,0,False,30,32,0,False,41,28,1,False,42,26,0,False,36,33,1,False,58,34,0,False,36,19,2,False,36,22,0,False,25,18,0,False,25,25,0,False,37,28,1,False,36,35,1,False,32,41,0,False,32,41,0,False,32,34,1,False,32,24,0,False,31,29,0,False,36,30,1,False,30,30,0,False,33,39,0,False,31,35,0,False,22,25,0,False,42,36,0,False,30,36,0,False,26,19,0,False,37,25,0,False,38,25,0,False,33,24,1,False,48,24,0,False,24,26,0,False,29,25,0,False
15,2005-04-01,21,5,0,False,33,28,0,False,24,32,0,False,29,30,1,False,27,25,0,False,31,23,0,False,34,34,0,False,23,20,0,False,48,33,0,False,36,30,0,False,39,28,0,False,28,23,0,False,20,24,0,False,45,27,0,False,32,25,1,False,42,28,1,False,31,25,0,False,31,24,0,False,24,26,1,False,38,27,1,False,39,45,1,False,25,20,0,False,30,21,1,False,44,21,0,False,40,21,1,False,23,31,0,False,27,26,3,False,31,28,0,False,35,24,0,False,32,22,1,False,25,38,0,False,30,34,0,False,41,28,0,False,37,32,1,False,31,31,0,False,29,24,0,False,39,27,1,False,48,34,0,False,29,28,0,False,41,27,3,False,32,35,0,False,28,19,0,False,30,26,1,False,30,38,0,False,28,29,0,False,34,22,0,False,55,29,0,False,35,24,0,False,44,20,0,False,11,31,0,False,14,36,0,False
16,2005-05-01,14,27,2,False,26,26,0,False,26,43,0,False,27,29,0,False,29,25,0,False,35,27,1,False,37,37,0,False,30,21,0,False,39,22,4,False,29,25,0,False,37,34,0,False,15,19,0,False,28,29,0,False,32,27,0,False,32,23,1,False,30,27,1,False,35,20,0,False,36,20,0,False,42,27,0,False,31,29,0,False,34,38,1,False,38,26,0,False,34,22,0,False,46,21,0,False,37,31,1,False,30,35,3,False,31,17,0,False,31,28,0,False,38,19,0,False,12,21,0,False,28,30,0,False,36,34,0,False,38,31,0,False,26,33,0,False,29,30,0,False,27,23,0,False,25,19,1,False,34,29,0,False,30,29,0,False,24,23,0,False,28,29,1,False,12,12,0,False,31,29,1,False,28,36,0,False,28,30,0,False,28,28,0,False,40,28,0,False,37,19,0,False,37,21,0,False,30,32,0,False,33,37,0,False
17,2005-06-01,32,19,0,False,46,19,0,False,32,20,0,False,32,21,0,False,27,25,0,False,42,25,0,False,37,32,1,False,24,23,1,False,16,23,0,False,32,27,0,False,36,30,1,False,26,22,0,False,34,26,0,False,40,21,0,False,31,26,0,False,36,27,0,False,28,32,0,False,27,28,0,False,30,30,0,False,33,27,1,False,35,43,1,False,34,18,3,False,35,28,0,False,44,29,1,False,41,22,0,False,39,25,0,False,41,16,0,False,32,25,0,False,34,30,0,False,31,15,1,False,32,24,0,False,30,30,1,False,37,23,0,False,35,23,1,False,34,26,1,False,30,24,1,False,24,21,0,False,41,27,2,False,32,24,0,False,28,20,0,False,41,30,0,False,30,31,0,False,31,28,0,False,31,40,0,False,23,22,0,False,30,27,1,False,42,50,0,False,32,28,1,False,40,23,1,False,34,41,0,False,33,29,0,False
18,2005-07-01,21,23,0,False,52,20,0,False,45,18,0,False,48,27,0,False,45,24,0,False,40,22,0,False,49,28,1,False,39,22,2,False,33,15,0,False,47,25,1,False,45,25,1,False,29,16,0,False,44,22,0,False,54,37,0,False,45,28,1,False,50,30,0,False,43,22,0,False,55,18,0,False,51,30,2,False,47,28,1,False,67,36,2,False,39,21,0,False,48,22,0,False,55,24,1,False,45,25,0,False,46,32,3,False,36,27,0,False,45,22,0,False,51,21,0,False,42,21,0,False,47,23,0,False,54,30,2,False,55,33,0,False,35,36,0,False,44,30,1,False,46,20,0,False,44,17,0,False,64,27,1,False,45,26,1,False,46,29,0,False,39,26,0,False,38,29,0,False,57,25,0,False,42,32,0,False,45,25,0,False,58,24,0,False,71,30,0,False,45,26,2,False,47,22,0,False,57,11,0,False,13,18,0,False
19,2005-08-01,44,26,0,False,26,17,2,False,31,21,0,False,41,23,0,False,32,25,0,False,43,24,0,False,28,39,0,False,28,23,1,False,27,29,4,False,34,29,1,False,41,30,0,False,31,20,0,False,33,26,0,False,44,31,0,False,36,23,0,False,35,26,0,False,24,22,1,False,49,36,0,False,38,33,0,False,37,28,0,False,47,38,1,False,45,25,1,False,41,30,1,False,55,22,1,False,37,24,0,False,47,34,0,False,40,27,0,False,41,23,0,False,46,12,0,False,25,22,1,False,43,17,0,False,39,31,0,False,29,32,0,False,41,29,0,False,34,30,1,False,38,21,0,False,44,17,0,False,46,29,0,False,38,28,0,False,33,30,1,False,36,21,0,False,51,21,0,False,43,27,1,False,32,38,0,False,35,18,0,False,34,28,0,False,48,36,0,False,35,23,2,False,48,22,0,False,42,38,0,False,39,13,0,False
