,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220
US-CO_bubbleTea,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
isPartial,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
US-CT_Coffee,41,37,39,39,22,36,38,34,31,42,46,67,35,33,31,34,37,37,49,28,37,41,49,51,39,36,37,34,32,30,29,29,45,37,42,52,41,47,37,41,33,38,37,38,42,40,49,52,48,40,39,38,38,32,32,35,40,35,48,48,48,50,33,38,37,45,39,39,40,42,50,58,50,41,44,42,44,41,38,44,48,43,54,57,47,48,48,41,47,46,46,43,53,49,55,63,51,48,49,50,49,50,50,62,59,58,57,52,55,61,60,58,53,57,56,51,55,53,54,58,56,59,52,55,39,45,60,56,58,53,56,66,57,52,54,55,53,55,60,60,63,58,63,74,67,66,60,64,65,59,62,59,66,66,70,87,70,67,68,62,69,64,71,75,69,69,79,78,75,69,74,70,70,71,74,75,77,74,78,85,79,73,79,69,76,80,77,79,80,79,84,91,82,84,75,92,84,81,85,88,86,89,88,100,95,90,81,87,85,87,93,88,90,93,100,100,95,95,87,91,83
US-CT_Tea,40,34,33,36,30,31,32,25,35,28,32,49,49,34,38,34,37,32,28,39,27,33,35,36,35,29,30,34,37,27,29,31,29,36,39,44,39,42,36,33,34,30,33,35,34,30,36,35,42,34,37,34,36,37,33,34,34,34,37,37,37,40,38,55,38,29,42,36,39,35,39,38,41,47,43,45,43,37,40,37,48,48,46,45,47,38,39,42,40,40,39,37,41,40,37,42,45,43,43,40,41,45,41,41,39,40,40,33,38,42,41,42,40,40,39,40,39,43,42,48,53,49,47,46,35,40,46,43,46,47,44,48,51,48,51,50,48,46,45,44,46,43,44,53,54,50,51,50,51,50,43,45,46,45,46,55,57,50,53,52,48,48,47,47,45,48,53,55,55,56,51,52,51,47,48,50,50,48,53,56,57,54,55,51,51,50,50,49,50,54,54,55,58,61,49,53,56,56,54,54,48,49,52,67,70,59,56,59,61,54,56,53,52,55,57,61,63,61,57,61,57
US-CT_bubbleTea,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,2,2,1,2,1,1,1,1,1,2,2,2,1,2,2,2,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,3,2,3,2,2,2,2,2,2,3,3,2,1,2,3,3,3,2,2,2,2,3,3,3,3,5,4,3,3,2,2,2,2,3,4,3,3,2
isPartial,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
US-DC_Coffee,34,30,29,19,28,34,26,19,27,32,34,36,28,30,27,23,30,24,39,28,33,29,35,35,29,36,34,26,27,30,30,26,26,29,31,39,33,31,30,30,29,29,32,29,30,32,32,38,31,31,31,29,29,29,29,28,29,30,34,34,34,31,32,30,27,30,29,30,30,33,34,37,35,31,32,29,32,33,30,33,33,32,36,38,41,39,39,35,36,48,56,53,58,53,60,67,59,60,62,52,50,55,51,55,57,54,55,52,55,53,53,50,50,49,48,48,44,47,49,52,48,45,46,37,44,45,47,47,55,51,59,57,53,50,53,50,52,52,45,47,53,48,53,52,56,54,52,56,55,58,55,56,63,57,54,64,57,58,61,56,58,58,63,58,65,60,68,77,74,81,76,80,67,78,85,88,83,79,77,83,77,80,76,78,83,82,77,78,85,78,82,83,81,79,75,93,78,75,74,80,78,72,66,74,71,80,69,78,78,78,79,81,100,92,95,81,86,82,84,88,76
US-DC_Tea,25,19,23,23,22,21,25,26,20,22,29,31,30,23,32,20,21,23,22,23,16,23,27,27,27,26,21,22,22,23,21,23,23,24,26,34,26,26,23,26,25,22,25,24,27,27,26,28,27,24,24,24,24,24,24,25,25,27,25,30,31,27,31,44,29,25,26,27,30,25,29,27,32,32,36,40,31,28,29,32,37,35,35,35,37,33,32,37,30,30,31,29,31,30,30,32,33,33,33,32,31,29,26,27,29,28,32,33,35,33,31,32,33,31,31,31,31,41,37,37,37,33,33,31,38,33,34,31,32,35,39,39,42,38,42,42,42,38,32,34,34,33,38,42,39,41,38,39,40,38,36,32,36,35,35,42,39,41,43,39,39,39,41,37,37,36,34,49,45,44,43,46,40,39,39,42,41,44,43,46,44,43,44,42,40,38,41,39,40,37,42,43,45,45,40,50,53,44,46,43,45,43,45,48,48,52,49,48,51,49,40,46,40,44,47,53,46,45,46,47,47
US-DC_bubbleTea,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,2,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,3,2,2,2,2,1,2,2,1,2,2,3,2,2,2,2,3,1,1,1,2,2,1,1,3,1,1,2,2,2,2,1,2,3,3,3,4,3,2,3,3,1,2,3,2,3,3,3,3
isPartial,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
US-DE_Coffee,82,39,82,45,34,58,18,16,38,35,62,56,47,31,38,48,39,16,33,27,22,37,34,41,24,41,26,28,28,30,34,22,34,41,41,51,32,43,32,21,42,27,29,36,29,17,32,43,56,43,30,33,29,33,35,27,28,46,35,34,24,49,38,40,39,31,41,17,31,38,46,49,63,49,48,39,39,47,47,32,43,39,45,55,52,40,34,38,39,43,49,46,55,52,60,65,58,56,48,49,50,54,57,59,56,57,70,56,65,57,59,60,58,44,47,55,49,50,57,55,51,49,50,49,45,54,52,41,59,55,62,62,58,61,50,59,47,54,50,48,61,59,62,67,64,52,57,57,56,54,55,53,67,55,71,75,58,61,55,61,60,57,61,62,65,65,75,70,63,76,69,65,59,65,70,69,67,69,69,72,69,66,71,75,67,76,73,75,74,66,76,72,74,66,65,91,80,76,71,86,79,82,79,76,83,70,72,72,78,81,84,90,85,80,100,86,79,74,69,79,67
US-DE_Tea,6,6,31,12,16,49,27,59,36,52,48,30,52,33,29,33,22,23,15,29,27,16,23,32,31,21,36,36,27,19,27,25,52,34,48,45,28,33,35,25,38,36,31,30,39,21,31,40,59,42,25,34,25,31,33,30,26,31,30,39,28,40,43,50,46,38,38,35,46,40,36,52,37,52,48,50,33,27,50,48,48,47,54,65,44,43,40,46,41,33,44,41,32,41,44,49,49,52,42,43,46,31,42,36,35,42,44,45,56,44,41,48,55,41,40,36,39,47,38,52,53,47,44,48,55,53,45,45,48,37,44,49,52,50,53,54,58,47,57,51,43,39,51,52,58,47,55,55,48,51,40,50,48,49,47,50,58,52,51,48,45,42,46,44,44,45,51,58,66,52,50,57,52,49,54,56,46,46,53,55,56,53,53,54,51,49,50,51,46,51,58,59,53,62,49,54,53,48,59,48,50,54,53,74,72,63,58,62,52,53,56,58,53,52,62,60,63,58,55,58,50
US-DE_bubbleTea,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,2,1,0,0,1,1,1,2,1,1,0,0,2,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,2,1,1,1,1,1,1,1,0,1,1,1,0,2,0,1,2,0,1,0,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,2,1,3,2,1,1,2,3,2,2,2,2,1,2,3,3,3,3,2,4,3,2,3,3,3,1,1,0,3,0
isPartial,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
US-FL_Coffee,37,33,28,32,31,31,39,34,30,38,34,46,36,28,31,36,29,32,47,34,33,38,45,42,38,33,30,31,27,32,29,30,32,30,36,39,36,33,31,32,27,33,31,31,31,31,35,36,31,31,30,31,30,28,27,28,29,30,36,39,35,30,28,32,33,28,31,31,34,32,35,42,35,33,33,31,30,28,29,30,31,31,36,44,39,38,35,36,35,39,43,39,43,44,48,51,48,47,45,44,45,44,49,54,56,51,57,61,53,48,55,48,48,52,48,41,39,40,45,48,50,44,46,43,40,42,43,42,47,42,47,50,47,46,43,43,44,45,47,45,52,49,55,67,61,57,54,55,56,54,55,54,63,58,67,83,65,63,63,62,62,62,65,64,61,63,71,75,70,64,71,69,67,70,75,71,70,66,75,78,76,72,74,68,72,72,76,73,74,72,79,81,80,77,68,83,80,80,77,78,84,80,82,93,85,83,80,82,82,84,87,82,89,85,100,96,94,91,90,89,75
US-FL_Tea,27,24,22,23,24,23,20,22,24,24,27,34,30,25,28,30,25,27,25,29,23,24,29,31,29,22,25,28,27,25,25,25,26,25,28,30,30,25,27,27,28,26,26,26,27,26,29,30,33,30,28,27,29,26,29,28,27,28,28,30,29,30,35,51,29,27,32,32,34,26,28,31,34,38,36,44,32,31,33,31,35,36,39,35,39,35,33,35,33,32,34,32,35,33,33,34,36,36,34,35,37,35,35,35,35,34,32,34,37,37,33,31,34,31,36,35,33,36,35,35,40,36,37,36,37,39,38,36,37,36,37,39,41,40,39,39,40,40,39,39,37,37,39,40,47,45,43,45,44,42,42,37,43,43,41,46,50,45,50,47,47,46,46,44,31,44,45,49,54,48,51,48,50,49,50,48,48,47,49,50,53,49,51,52,50,52,51,47,49,50,50,52,55,53,49,53,57,58,59,55,53,55,50,65,63,54,55,57,59,60,61,59,56,53,55,56,62,55,56,58,54
US-FL_bubbleTea,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,2,1
isPartial,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
US-GA_Coffee,49,34,37,35,31,32,35,36,34,38,46,54,40,39,39,39,37,36,45,41,34,39,40,47,43,37,40,33,33,34,35,35,35,36,44,47,39,36,36,35,37,34,36,38,40,38,44,45,39,39,36,37,35,33,35,34,34,35,39,43,36,38,36,35,32,35,35,34,36,37,41,48,40,37,36,33,36,35,32,36,34,34,40,46,44,40,42,38,37,49,54,51,54,55,60,66,58,56,56,50,51,55,58,57,58,55,59,60,55,54,53,52,51,52,48,44,42,43,49,50,48,46,46,43,43,44,45,44,47,44,48,51,48,47,46,46,43,48,50,50,54,50,56,59,54,51,48,50,49,49,48,50,54,52,64,80,54,55,54,51,52,52,57,58,56,59,67,76,66,57,62,60,56,62,63,69,65,65,77,81,71,64,63,60,65,65,71,73,73,73,78,82,77,75,67,83,79,78,77,77,81,80,82,94,84,81,76,76,74,81,83,81,90,86,100,96,89,86,81,82,74
US-GA_Tea,27,25,37,29,25,26,23,27,23,24,31,33,35,30,28,28,34,30,25,30,27,26,32,34,30,31,31,29,29,26,33,27,28,29,32,33,33,32,31,29,29,33,30,28,27,28,29,32,33,32,30,29,28,28,29,29,30,30,30,32,33,31,35,61,30,29,32,31,37,31,32,32,35,38,37,40,33,31,35,30,32,36,36,35,37,37,33,35,32,33,35,35,35,34,33,34,38,35,35,33,34,33,35,33,32,33,34,36,37,35,38,37,38,36,35,34,35,37,36,38,41,39,37,37,39,38,37,36,37,35,37,38,43,41,41,40,41,41,40,40,42,41,41,42,43,44,42,43,44,42,41,39,41,41,39,43,44,43,42,42,41,41,43,42,41,42,42,46,48,43,43,44,43,44,44,44,42,42,45,47,50,47,45,46,46,46,45,45,43,44,46,46,52,50,45,49,61,57,53,48,48,48,45,68,68,53,52,54,55,54,55,52,48,50,50,55,57,52,53,53,56
US-GA_bubbleTea,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,1,2,2,3,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,3,3,3,2
isPartial,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
US-HI_Coffee,27,22,32,36,32,26,31,20,19,21,28,30,20,14,25,28,15,26,29,31,23,34,24,28,35,28,33,23,29,30,27,30,25,23,24,34,27,28,24,28,27,29,23,24,26,27,32,26,25,28,24,29,28,28,27,26,22,31,31,29,27,30,31,30,27,31,32,30,31,28,34,31,31,27,36,34,27,36,33,31,31,30,37,37,34,28,32,32,35,38,42,41,37,36,44,43,42,40,39,37,40,42,43,48,48,44,45,45,45,41,44,46,44,47,47,44,39,41,45,47,45,44,42,40,41,42,51,43,47,45,46,51,49,46,52,44,50,49,50,44,51,47,55,54,55,50,51,53,54,53,53,52,55,63,64,70,61,57,60,61,61,63,68,64,63,68,68,65,61,68,61,68,66,69,68,70,69,66,70,68,68,69,68,70,72,72,72,73,75,73,71,80,75,79,69,72,58,57,52,54,54,60,62,73,67,72,80,81,96,97,100,99,90,88,89,93,82,87,88,89,95
US-HI_Tea,30,21,22,17,17,16,25,27,27,19,24,17,22,20,22,23,19,22,16,20,24,18,25,20,25,18,17,22,23,24,14,18,24,22,18,19,21,21,25,20,20,24,24,25,22,24,26,21,28,21,27,19,21,21,19,27,27,22,21,20,26,29,28,35,22,26,24,24,22,26,23,22,26,28,31,38,30,29,28,28,29,28,29,27,32,30,28,30,29,30,29,32,28,31,29,28,29,29,29,31,33,29,34,33,29,31,26,31,35,31,33,32,36,35,34,36,30,35,33,32,39,34,39,35,37,39,41,34,32,33,34,36,37,39,36,37,37,38,37,35,36,36,34,34,38,34,38,38,40,42,35,36,38,36,35,37,38,37,41,42,39,40,40,38,36,37,36,40,37,40,38,38,36,40,39,37,38,38,37,38,40,41,44,42,47,45,43,44,41,39,39,43,42,39,46,50,54,54,48,43,48,44,42,52,56,51,44,51,50,49,48,49,44,45,45,44,44,42,44,47,46
US-HI_bubbleTea,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,2,2,1,2,2,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,2,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,0
isPartial,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
US-IA_Coffee,26,31,24,37,20,44,35,45,16,25,46,55,31,26,27,20,28,34,44,33,36,36,42,48,37,42,25,30,34,35,31,35,31,35,40,52,35,39,27,36,31,29,42,35,34,30,39,43,38,32,33,29,32,28,31,27,33,34,39,42,36,40,36,35,31,35,32,28,37,42,38,47,39,43,35,37,39,36,27,33,36,43,44,51,44,38,42,35,36,45,40,39,45,45,55,55,45,43,41,44,42,47,49,48,51,53,56,59,53,51,47,50,50,48,49,42,47,45,52,57,45,44,43,41,42,48,53,46,49,48,56,60,51,51,45,48,45,47,48,47,46,47,56,63,56,53,51,53,51,50,46,53,55,60,64,76,64,56,58,63,59,60,63,66,63,64,70,73,63,64,67,67,62,66,71,71,69,65,77,79,71,65,68,69,70,74,72,73,73,70,79,85,73,74,71,86,83,76,76,78,83,87,86,100,87,81,79,81,89,84,86,89,89,94,98,100,93,90,89,90,84
US-IA_Tea,22,13,22,18,20,18,30,13,18,34,31,23,20,24,25,24,29,26,22,26,16,23,19,23,25,24,14,17,23,23,22,23,32,30,31,27,20,25,28,24,23,23,25,22,25,17,23,23,25,30,25,21,23,21,23,19,17,22,26,25,25,22,30,42,24,19,27,21,23,23,24,23,22,28,27,30,27,24,25,24,25,31,32,31,34,29,27,30,28,29,30,29,30,27,26,31,31,30,27,30,27,32,30,26,26,28,28,30,31,29,29,30,27,31,31,26,28,30,29,32,33,28,31,30,29,31,31,30,30,29,34,32,34,34,33,33,32,33,31,33,32,31,28,33,34,33,32,31,30,32,31,30,30,30,28,34,35,35,34,32,30,31,33,31,28,31,34,37,37,33,33,33,33,31,35,31,30,34,35,38,36,35,32,36,34,33,34,31,32,33,37,38,39,34,34,34,37,40,37,36,34,35,34,51,49,38,37,40,40,38,41,36,34,35,36,36,40,36,39,40,43
US-IA_bubbleTea,1,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,3,2,2,2,1,1,1,1,2,2,1,2
isPartial,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
