,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220
US-AR_Tea,19,15,32,23,29,26,9,17,22,14,40,37,28,35,23,32,43,20,18,21,26,24,32,31,37,24,25,30,36,29,29,19,28,31,38,34,35,28,25,34,29,30,29,23,24,29,31,35,32,33,29,30,25,31,26,25,35,30,26,29,30,36,33,67,32,27,28,34,38,35,26,21,29,35,41,45,35,29,37,31,36,39,34,35,43,40,31,33,36,31,40,33,35,39,35,35,41,35,37,35,36,35,37,36,34,32,35,33,38,33,37,35,35,35,36,35,35,37,36,37,42,37,37,34,38,39,40,37,31,36,38,40,44,42,40,41,40,40,46,39,40,35,35,42,45,37,37,36,38,37,37,35,38,37,36,39,40,40,38,40,39,39,38,36,33,36,37,40,46,42,40,41,39,39,40,39,37,37,42,40,45,41,42,39,41,36,42,38,39,37,39,40,49,42,35,39,47,46,47,39,44,43,41,60,56,48,41,47,45,47,42,44,45,44,45,46,47,48,45,44,52
US-AR_bubbleTea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,3,2,2,2,1,2,1,1,1,1,2,2,2
isPartial,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
US-AZ_Coffee,31,34,28,29,28,29,30,30,36,33,40,57,48,37,34,29,27,32,48,41,33,36,43,51,37,33,37,33,28,42,33,29,37,37,37,46,37,37,37,35,30,38,33,33,36,36,39,48,36,38,33,35,36,36,34,35,31,36,40,42,39,35,32,35,37,39,36,37,36,40,43,46,41,39,42,35,40,39,40,40,38,41,45,48,45,40,37,41,39,59,59,55,54,54,62,72,60,57,60,54,56,58,59,61,67,62,65,71,63,61,54,60,56,57,51,48,49,48,55,60,52,51,52,48,49,49,54,52,55,53,58,67,59,54,51,53,54,57,55,55,64,57,65,68,63,60,59,61,61,59,62,59,63,62,69,80,67,69,62,65,63,65,68,65,70,64,71,75,71,68,71,66,68,71,72,68,71,70,73,79,77,73,71,68,75,76,76,75,73,72,79,81,79,80,69,92,87,88,84,78,87,83,79,98,82,81,82,80,84,81,80,81,87,89,100,95,90,89,89,84,86
US-AZ_Tea,24,26,25,20,16,23,23,22,22,29,28,38,23,29,29,30,29,21,27,23,29,23,28,30,27,30,33,27,32,26,24,26,26,32,31,28,27,31,30,26,30,30,30,29,28,29,31,34,33,36,33,29,31,30,30,30,30,29,31,33,30,34,35,57,34,33,33,35,36,32,32,35,36,41,44,42,37,33,37,35,38,38,41,38,40,36,34,33,31,35,31,37,36,31,32,34,38,36,36,36,37,39,35,35,38,37,39,38,42,36,36,38,38,35,35,38,36,39,39,41,43,40,38,39,38,39,36,40,37,36,38,39,45,41,40,45,42,43,44,41,42,38,40,47,45,43,42,43,43,40,42,41,43,40,40,45,50,45,44,45,43,44,44,45,43,40,43,48,49,47,46,47,50,47,48,47,47,47,45,51,51,46,48,46,46,50,48,47,45,45,45,48,47,47,42,45,47,50,48,46,46,47,45,60,57,51,46,48,52,51,49,50,51,49,51,51,55,52,50,49,55
US-AZ_bubbleTea,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0
isPartial,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
US-CA_Coffee,33,27,28,30,32,28,30,32,29,29,33,39,32,31,27,27,29,27,45,32,31,30,35,37,34,30,32,29,26,29,27,29,31,30,34,37,34,32,32,30,30,30,29,32,32,30,32,33,31,30,28,30,28,28,27,26,25,24,28,30,28,27,26,26,24,25,24,25,24,25,25,27,25,23,23,23,23,23,21,20,20,20,22,24,45,41,41,41,41,51,53,54,56,52,60,64,58,58,59,53,55,57,58,60,62,60,65,67,65,61,58,57,56,61,56,54,51,54,57,62,58,57,55,54,54,55,58,56,56,53,59,64,62,57,57,57,59,59,63,61,64,59,67,75,70,66,63,65,66,65,66,64,69,68,73,88,72,71,68,70,72,72,77,74,74,70,75,82,78,76,79,73,77,76,78,78,78,75,77,88,81,80,78,77,83,81,86,84,79,78,84,91,85,77,74,98,82,85,80,78,80,81,85,93,84,85,82,84,82,87,94,92,93,94,98,100,94,93,91,93,74
US-CA_Tea,26,24,25,23,23,23,24,26,23,24,27,29,28,27,27,25,25,25,24,25,24,26,28,30,27,27,29,25,26,25,24,25,25,27,29,31,32,27,29,26,27,27,25,26,25,24,25,29,29,27,26,25,25,25,24,24,23,23,28,25,26,24,24,33,22,21,22,21,22,21,21,22,23,24,23,26,22,21,20,19,20,22,22,20,40,34,35,39,36,34,36,38,36,36,35,39,40,40,39,39,40,38,38,38,37,37,40,44,46,41,42,42,43,41,40,39,40,43,42,45,48,45,44,44,46,45,42,43,41,40,42,45,51,44,47,46,46,44,46,46,45,41,45,48,51,51,48,49,49,46,46,45,45,46,45,51,54,50,53,50,51,48,52,48,47,46,49,52,57,53,53,54,53,51,52,50,52,50,53,58,58,56,57,55,54,53,54,53,51,52,52,56,60,57,50,54,56,56,56,54,52,52,52,64,68,58,58,60,59,58,58,56,56,55,58,60,67,59,57,61,51
US-CA_bubbleTea,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
isPartial,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
US-CO_Coffee,32,37,38,39,33,35,43,35,30,30,34,47,31,38,29,31,35,42,40,43,37,37,46,50,42,41,36,34,35,30,35,34,40,37,40,49,45,38,40,39,40,35,36,36,38,36,40,49,45,42,36,36,34,36,34,35,34,36,44,46,36,36,37,39,37,38,38,39,39,43,47,47,44,38,41,39,38,43,39,39,39,41,46,47,48,45,41,41,41,51,60,53,61,57,64,67,61,61,59,53,53,59,60,67,71,64,64,71,64,63,59,58,55,60,55,51,51,53,56,60,55,55,54,51,52,56,60,57,58,55,62,66,59,58,58,57,58,57,60,57,61,60,68,75,67,64,64,64,62,67,66,69,68,67,71,80,70,71,68,68,70,70,72,70,72,71,77,79,75,73,71,73,73,75,80,77,73,74,77,82,76,74,74,72,76,78,82,80,80,75,79,84,81,76,70,85,82,82,86,83,91,80,76,89,83,76,73,79,88,83,96,92,94,97,100,94,89,88,89,88,89
US-CO_Tea,32,25,21,24,28,23,20,16,28,25,33,31,30,30,25,23,27,25,22,24,20,24,27,32,27,30,28,31,32,23,30,22,28,30,29,35,28,29,29,30,28,29,25,27,27,29,31,37,34,29,29,28,26,27,28,30,29,32,28,34,33,33,39,59,31,30,32,30,33,31,32,35,36,40,37,45,35,32,38,32,38,35,41,36,36,32,28,34,32,30,30,31,31,32,33,36,34,32,33,31,33,33,35,32,32,31,35,36,36,37,35,35,34,33,34,30,33,39,37,37,39,34,38,36,37,38,36,35,33,34,35,42,39,37,38,37,36,36,37,36,37,38,39,43,42,41,39,40,39,37,37,35,36,34,38,43,44,43,41,42,40,37,41,36,36,40,42,47,47,42,42,41,41,42,40,38,38,42,44,48,48,45,43,43,42,42,42,40,42,43,45,47,47,46,38,41,44,43,44,44,44,44,44,59,56,50,45,49,49,48,50,47,45,47,51,53,54,50,47,51,47
